                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6316,                 2.2731,                 1.7722,                0.37302,                0.21889,                0.04961,                0.01877,                 2.5046,                 39.146,                 5.9838,                0.07033,              0.0032967,              0.0032967
                      2,                 1.7179,                 2.0316,                 1.7877,                0.01162,                0.18719,                0.00927,                0.00263,                 2.9513,                 8.8795,                 5.0344,               0.040111,              0.0064112,              0.0064112
                      3,                 1.6269,                 1.8318,                 1.7141,                 0.4837,                0.22794,                0.19951,                 0.0832,                 1.8901,                 4.7218,                 2.3612,              0.0096721,              0.0093058,              0.0093058
                      4,                 1.6287,                 1.7856,                  1.693,                 0.3161,                 0.5477,                0.34879,                0.19093,                  1.415,                 2.9603,                 1.8296,                0.00901,                0.00901,                0.00901
                      5,                 1.5167,                 1.6536,                 1.6295,                 0.2393,                 0.5505,                 0.3173,                0.13897,                 1.7216,                 2.8708,                 2.0938,                0.00901,                0.00901,                0.00901
                      6,                  1.478,                 1.5747,                 1.5747,                0.38504,                0.63826,                0.49633,                0.27901,                 1.6056,                 1.8521,                 2.0293,                0.00868,                0.00868,                0.00868
                      7,                  1.396,                 1.4972,                 1.5306,                0.54335,                0.71244,                0.63424,                0.40605,                 1.3149,                 1.6892,                 1.7192,                0.00835,                0.00835,                0.00835
                      8,                 1.4145,                 1.4717,                 1.5244,                0.46439,                0.84145,                0.64905,                0.38152,                 1.3531,                 1.4287,                 1.8227,                0.00802,                0.00802,                0.00802
                      9,                 1.3341,                 1.3688,                 1.4881,                0.65833,                0.82441,                0.79869,                0.53111,                  1.155,                 1.0857,                 1.6102,                0.00769,                0.00769,                0.00769
                     10,                 1.2922,                 1.3494,                 1.4553,                0.66926,                0.84153,                0.81543,                0.50133,                 1.3307,                 1.2755,                 1.6489,                0.00736,                0.00736,                0.00736
                     11,                 1.2814,                 1.3023,                 1.4357,                0.68649,                0.76885,                0.80213,                0.53453,                 1.1568,                 1.1301,                 1.6119,                0.00703,                0.00703,                0.00703
                     12,                 1.2457,                 1.2745,                 1.4091,                0.46278,                 0.7865,                0.62528,                0.41765,                 1.1777,                 1.4883,                 1.5781,                 0.0067,                 0.0067,                 0.0067
                     13,                 1.2698,                 1.2583,                 1.4344,                0.69851,                0.81731,                0.82413,                  0.565,                 1.1669,                 1.0295,                 1.5879,                0.00637,                0.00637,                0.00637
                     14,                 1.2156,                 1.2347,                  1.398,                0.70994,                0.77286,                0.80389,                0.56669,                 1.0484,                 1.1444,                 1.5055,                0.00604,                0.00604,                0.00604
                     15,                 1.1984,                 1.1882,                 1.3875,                0.75774,                0.78227,                0.84894,                 0.5942,                 1.0606,                 1.0052,                 1.5126,                0.00571,                0.00571,                0.00571
                     16,                 1.1841,                 1.1754,                  1.384,                0.74325,                0.86606,                0.87061,                 0.6104,                 1.0629,                0.93426,                 1.4828,                0.00538,                0.00538,                0.00538
                     17,                 1.1879,                 1.1607,                 1.3803,                0.72531,                0.74403,                0.82533,                0.61442,                0.95384,                 1.0929,                 1.4009,                0.00505,                0.00505,                0.00505
                     18,                 1.1234,                 1.1371,                 1.3442,                0.67065,                0.85592,                0.85873,                 0.6116,                 1.0382,                0.95337,                 1.4932,                0.00472,                0.00472,                0.00472
                     19,                 1.1013,                 1.0817,                 1.3213,                 0.7948,                0.85549,                0.87872,                0.64746,                0.94657,                0.85159,                 1.3709,                0.00439,                0.00439,                0.00439
                     20,                 1.0739,                 1.0639,                 1.3083,                0.80255,                0.76898,                0.85934,                0.60838,                 1.0648,                0.95704,                 1.5177,                0.00406,                0.00406,                0.00406
                     21,                0.94052,                0.83601,                 1.3702,                0.81713,                0.84244,                0.89173,                0.64554,                 1.0021,                0.85399,                 1.4149,                0.00373,                0.00373,                0.00373
                     22,                0.88388,                0.79474,                 1.3226,                0.80964,                0.87452,                 0.8977,                0.66649,                0.95076,                0.80398,                 1.3736,                 0.0034,                 0.0034,                 0.0034
                     23,                0.88337,                0.77538,                  1.333,                 0.8082,                0.84546,                0.88689,                 0.6708,                0.95662,                  0.836,                 1.3698,                0.00307,                0.00307,                0.00307
                     24,                0.85585,                0.70942,                 1.3004,                0.82956,                0.81846,                0.89062,                0.69562,                0.86763,                0.78144,                 1.2965,                0.00274,                0.00274,                0.00274
                     25,                 0.8169,                0.70197,                 1.2715,                0.82505,                0.83726,                0.90287,                0.71154,                0.86664,                0.80158,                 1.2891,                0.00241,                0.00241,                0.00241
                     26,                0.78508,                0.66628,                 1.2403,                0.81748,                0.88492,                 0.9172,                0.73618,                0.81576,                0.71103,                 1.2408,                0.00208,                0.00208,                0.00208
                     27,                0.76201,                0.63584,                 1.2033,                0.82102,                0.87509,                0.90698,                0.71595,                0.83141,                0.71643,                 1.2572,                0.00175,                0.00175,                0.00175
                     28,                0.75532,                0.61443,                 1.2035,                0.79772,                0.88956,                0.90735,                0.71381,                0.83156,                0.72574,                 1.2706,                0.00142,                0.00142,                0.00142
                     29,                0.71285,                0.59351,                 1.1683,                0.78586,                0.91263,                 0.9116,                0.73828,                0.77676,                0.68463,                 1.2169,                0.00109,                0.00109,                0.00109
                     30,                0.69325,                0.56314,                 1.1572,                0.84282,                0.86699,                0.92211,                0.75886,                 0.7546,                0.67041,                 1.1956,                0.00076,                0.00076,                0.00076
